Course Name,Course Code
Operate and monitor ore car dumpers ,RIIPEO302E
Conduct pump operations ,RIIPGP201D
Handle reagents ,RIIPGP202D
Operate compressors ,RIIPGP203D
Conduct drying activities ,RIIPGP301D
Monitor and operate auxiliary plant and equipment ,RIIPGP302D
Operate raw material feed systems ,RIIPHA201D
Conduct milling/grinding ,RIIPHA301D
Operate and monitor filter processes ,RIIPHA302D
Conduct electrowinning/electro-refining operations ,RIIPRE301D
Conduct elution processes ,RIIPRE302D
Conduct gold room operations ,RIIPRE303D
"Implement, monitor, rectify and report on contracts ",RIIPRM501E
Conduct crushing operations ,RIIPRO201D
Conduct screening and conveying operations ,RIIPRO202D
Operate programmable logic control systems ,RIIPRO203D
Bulk package and store product ,RIIPRO204D
Conduct blending plant operations ,RIIPRO205D
Conduct crushing an d screening plant operations ,RIIPRO301D
Perform process control room operations ,RIIPRO302D
Conduct sand wash plant operations ,RIIPRO303D
Supervise processing operations ,RIIPRO401D
Supervise recycled materials operations ,RIIPRO402D
Implement site pr ocessing plant operations ,RIIPRO501D
"Develop, implement and maintain process control systems ",RIIPRO502D
Cast ingots ,RIIPSM302D
Operate furnaces ,RIIPSM304D
Maintain and moni tor site quality standards ,RIIQUA201D
Maintain and monitor site quality standards ,RIIQUA201E
Apply a quality management system on site ,RIIQUA401E
"Implement, monitor and develop quality management plans ",RIIQUA501E
Establish and ma intain a quality system ,RIIQUA601D
Establish and ma intain a quality system ,RIIQUA601E
Apply and monitor mine services and infrastructure systems ,RIIRAI401D
Apply and monitor site pl ant and resource management plan ,RIIRAI402D
Implement mine transport systems and production equipment ,RIIRAI501D
Develop and implement site plant and resource management plan ,RIIRAI502D
Implement site services and infrastructure systems ,RIIRAI503D
Select and instal l surface plant and equipment ,RIIRAI504D
Implement the surface mine  mechanical plant management plan ,RIIRAI505D
"Implement, monitor, rectify and report on inventory control system ",RIIRAI506D
Implement the underground coal mine mechanical plant management plan ,RIIRAI507D
Implement mine services systems ,RIIRAI508E
Implement mine fixed plant and infrastructure systems ,RIIRAI509D
"Implement, monitor, rectify and report on in terfaces between electrical and mechanical ",RIIRAI510D
Establish and main tain the site infrastructure and fixed plant systems ,RIIRAI601D
"Establish and maintain  mine mechanical plant, servic es and infrastructure systems ",RIIRAI602D
Establish and maintain mine transport systems and production equipment ,RIIRAI603E
Establish and maintain mine  services and infrastructure systems ,RIIRAI604E
Establish and mainta in an underground mine mechan ical plant management system ,RIIRAI605D
Establish quarry operations ,RIIRAI607D
Establish quarry development ,RIIRAI608D
"Establish and maintain  electrical installations, reticulation and protection system ",RIIRAI609D
Establish & maintain mechanical  standard/engineering practices for transport/ production ,RIIRAI610D
Establish and main tain a surface mine mechanical plant management system ,RIIRAI611D
Establish and maintain underground product haulage and transport systems ,RIIRAI612D
Conduct local risk control ,RIIRIS201D
Conduct local risk control ,RIIRIS201E
Respond to site based spills ,RIIRIS202D
Respond to site based spills ,RIIRIS202E
Apply risk management processes ,RIIRIS301D
Apply risk management processes ,RIIRIS301E
Apply site risk management system ,RIIRIS401E
Carry out the risk management process ,RIIRIS402D
Carry out the risk management process ,RIIRIS402E
Manage and coordinate spill response ,RIIRIS403D
Manage and coordinate spill response ,RIIRIS403E
Implement and maintain management systems to control risk ,RIIRIS501E
Establish and maintain  the risk management system ,RIIRIS601D
Establish and mainta in risk management systems ,RIIRIS601E
"Position, set-up and operate variable message signs ",RIIRTM201E
"Position, set-up and operate portable traffic signals ",RIIRTM202E
Work as a safety observer/spotter ,RIIRTM203E
Operate truck or trailer mounted attenuators ,RIIRTM301E
Handle resources and infrastructure materials and safely dispose of nontoxic materials ,RIISAM201D
Handle resources and infrastructure materials and safely dispose of nontoxic materials ,RIISAM201E
Isolate and access plant ,RIISAM202E
Use hand and power tools ,RIISAM203D
Use hand and power tools ,RIISAM203E
Operate small plant and equipment ,RIISAM204D
Operate small plant and equipment ,RIISAM204E
"Cut, weld and bend materials ",RIISAM205D
"Cut, weld and bend materials ",RIISAM205E
Apply operational maintenance skills ,RIISAM207E
Perform plant operational maintenance ,RIISAM208E
Carry out operational maintenance ,RIISAM209E
Service mine plant and equipment ,RIISAM212E
Position and set up mobile lighting ,RIISAM213E
Carry out drilling in dustry operational maintenance ,RIISAM215E
Test operational func tions of vehicles and equipment ,RIISAM301F
Shutdown dredge for operator maintenance ,RIISAM303E
"Install, commissi on and maintain major conveyor equipment and systems ",RIISAM304E
"Service and maintain conveyors, feeders and hoppers ",RIISAM306E
Service an d maintain crushers ,RIISAM307E
Service and maintain screens ,RIISAM308E
Service and maintain pumps ,RIISAM309E
"Manage tyre, wheel and rim assembly applications ",RIISAM315A
"Apply site plant, equipment and infrastructure maintenance management plans ",RIISAM401E
Commission /recommission plant ,RIISAM403E
Monitor oil and gas equipment maintenance ,RIISAM404
"Implement and maintain  the site plant, equipment and infrastructure maintenance plans ",RIISAM501E
Manage general drilling equipment maintenance ,RIISAM502E
"Establish an d maintain plant, equipment and in frastructure maintenance systems ",RIISAM601E
Conduct mine surveying operations ,RIISDM501D
Blend stockpile materials ,RIISRM301E
Conduct stockpile reclaiming operations ,RIISRM302E
Move and position materials to form stockpiles ,RIISRM303E
Maintain stockpiles ,RIISRM304E
Apply and monitor the site stockpile management plan ,RIISRM401D
Implement stockpile management plans ,RIISRM501E
Design stockpile formations and reclaiming systems ,RIISRM502E
Establish an d maintain the stockpile management system ,RIISRM601D
Establish and maintain stockpile management systems ,RIISRM601E
Read and interpret maps ,RIISTD201D
Read and interpret maps ,RIISTD201E
Collect routine site samples ,RIISTD202D
Collect routine site samples ,RIISTD202E
Take environmental samples and measurements ,RIISTD301D
Process data and maintain accurate records ,RIISTD302E
Monitor quarry laboratory operations and the quality of results ,RIISTD401
Install ground support ,RIIUMM201D
Install and maintain vent ,RIIUMM202D
Prepare and perfor m manual scaling operations ,RIIUMM203D
Conduct hand held mining ,RIIUMM303D
Construct and ma intain underground roads ,RIIUMM304D
Install and remove a secondary fan ,RIIUMM305D
Conduct mechanical scaling ,RIIUMM306D
Maintain underground stockpiles ,RIIUMM307D
"Install, maintain and recover reticulation systems ",RIIUND201D
Operate from elevated work platform underground ,RIIUND202E
Refuel vehicles/machines underground ,RIIUND204D
Respond to a workforce incident ,RIIUND205E
Install hand held underground ground support ,RIIUND206D
Conduct underground lifting operations ,RIIUND207E
Conduct skip operations ,RIIUND208E
Operate automated winder ,RIIUND209E
Operate manual winder ,RIIUND301E
Conduct cage operations ,RIIUND302E
Operate winder for shaft sinking ,RIIUND303E
Recover underground equipment ,RIIUND305D
Assessment Requirements for RIIUND307D Conduct tele-remote operations ,RIIUND307D
Conduct mechanical underground ground support drilling and installation ,RIIUND309D
Apply shot-crete underground ,RIIUND310D
Apply shotcrete underground ,RIIUND310E
Apply and monitor the ventilation management plan ,RIIUND401E
Implement the ventilation management plan ,RIIUND501E
Establish an d maintain ventilation management systems ,RIIUND601E
Establish and maintain mine services systems ,RIIUND602D
"Manage, operate and main tain the mine ventilation system ",RIIUND603D
Operate a light vehicle ,RIIVEH201E
Operate a medium vehicle ,RIIVEH202F
Operate a light vehicle underground ,RIIVEH203E
Operate multi-combination vehicle ,RIIVEH302E
Drive heavy combination vehicle ,RIIVEH303F
Conduct ti p truck operations ,RIIVEH304E
Operate and maintain  a four wheel drive vehicle ,RIIVEH305F
Operate a mine service vehicle ,RIIVEH306E
Operate a heavy rigid vehicle ,RIIVEH307F
Treat and dispose of rejects and tailings ,RIIWBP201E
Distribute tailings ,RIIWBP202E
Monitor tailings dam environments ,RIIWBP203E
Apply and monitor site waste and by-products management plan ,RIIWBP401D
Implement site waste and by-product management plan ,RIIWBP501D
Plan and monitor re cycled material operations ,RIIWBP502D
Work safely and follo w WHS policies and procedures ,RIIWHS201D
Work safely and follo w WHS policies and procedures ,RIIWHS201E
Enter and work in confined spaces ,RIIWHS202D
Enter and work in confined spaces ,RIIWHS202E
Work safely at heights ,RIIWHS204E
Control traffic with stop-slow bat ,RIIWHS205E
Control traffic with portable traffic control devices and temporary traffic signs ,RIIWHS206
Control traffic on high volume roads ,RIIWHS207
Conduct safety and health investigations ,RIIWHS301D
Conduct safety and health investigations ,RIIWHS301E
Implement traffic management plan ,RIIWHS302D
Implement traffic management plans ,RIIWHS302E
"Position, set up and progra m portable traffic control devices ",RIIWHS303
Implement traffic manageme nt plans on high volume roads ,RIIWHS304
Implement traffic management  plans on motorways and freeways ,RIIWHS305
Supervise work in confined spaces ,RIIWHS401E
Examine and maintain mine safety ,RIIWHS402E
Apply the mine work health and safety management plan ,RIIWHS403D
Apply the work health and safety management system ,RIIWHS403E
Implement and monitor heal th and hygiene management systems ,RIIWHS404D
Implement and monitor heal th and hygiene management systems ,RIIWHS404E
Maintain standard proc edures and safe working practices ,RIIWHS405D
Establish and maintain the WHS management system ,RIIWHS601D
Establish and mainta in the WHS management system ,RIIWHS601E
Conduct dewatering activities in surface operations ,RIIWMG201D
Conduct dewatering operations in underground mining operations ,RIIWMG202D
Drain and dewate r civil construction site ,RIIWMG203D
Drain and dewate r civil construction sites ,RIIWMG203E
Control construc tion site water tables ,RIIWMG301E
Reclaim and treat water ,RIIWMG302D
Apply and monitor the site water management plan ,RIIWMG401D
Implement the si te water management plan ,RIIWMG501D
Establish and mainta in water management system ,RIIWMG601D
Prepare equipment for well servicing air operations ,RIIWSV203E
Conduct and maintain well servicing derrick operations ,RIIWSV301F
Trip production stri ng for well servicing operations ,RIIWSV302E
Operate fluid systems ,RIIWSV303E
Prepare well serv icing fishing operations ,RIIWSV304E
Rig up and rig down for well servicing operations ,RIIWSV401E
Conduct well servicing milling operations ,RIIWSV402D
Participate in well servic ing nippling-up and pressure test ,RIIWSV403E
Conduct fishing operations ,RIIWSV404D
Manage well servic ing induction and orientation ,RIIWSV501D
Manage well completion and rig release ,RIIWSV502E
Manage and monitor rig-up operations ,RIIWSV503E
